id,name,category,thickness_mm,price,edgePrice,image,discount,status,description,pros,care,supplier,supplierUrl,datasheetUrl
antique-brown-30-mm-granit,Antique Brown (30 mm),Granit,30,2678,395,,-0.10,available,,,,,,
antique-brown-20-mm-granit,Antique Brown (20 mm),Granit,20,2678,395,,-0.10,available,,,,,,
belvedere-30-mm-granit,Belvedere (30 mm),Granit,30,3704,395,,-0.10,available,,,,,,
belvedere-20-mm-granit,Belvedere (20 mm),Granit,20,3704,395,,-0.10,available,,,,,,
bianco-sardo-30-mm-granit,Bianco Sardo (30 mm),Granit,30,1177,395,,-0.10,available,,,,,,
bianco-sardo-20-mm-granit,Bianco Sardo (20 mm),Granit,20,1177,395,,-0.10,available,,,,,,
blue-in-the-night-30-mm-granit,Blue In The Night (30 mm),Granit,30,2203,395,,-0.10,available,,,,,,
blue-in-the-night-20-mm-granit,Blue In The Night (20 mm),Granit,20,2203,395,,-0.10,available,,,,,,
blue-pearl-30-mm-granit,Blue Pearl (30 mm),Granit,30,2516,395,,-0.10,available,,,,,,
blue-pearl-20-mm-granit,Blue Pearl (20 mm),Granit,20,2516,395,,-0.10,available,,,,,,
bohus-grey-30-mm-granit,Bohus Grey (30 mm),Granit,30,2020,395,,-0.10,available,,,,,,
bohus-grey-20-mm-granit,Bohus Grey (20 mm),Granit,20,2020,395,,-0.10,available,,,,,,
colonial-ivory-30-mm-granit,Colonial Ivory (30 mm),Granit,30,2441,395,,-0.10,available,,,,,,
colonial-ivory-20-mm-granit,Colonial Ivory (20 mm),Granit,20,2441,395,,-0.10,available,,,,,,
colonial-white-30-mm-granit,Colonial White (30 mm),Granit,30,2020,395,,-0.10,available,,,,,,
colonial-white-20-mm-granit,Colonial White (20 mm),Granit,20,2020,395,,-0.10,available,,,,,,
emerald-pearl-30-mm-granit,Emerald Pearl (30 mm),Granit,30,2549,395,,-0.10,available,,,,,,
emerald-pearl-20-mm-granit,Emerald Pearl (20 mm),Granit,20,2549,395,,-0.10,available,,,,,,
galaxy-star-30-mm-granit,Galaxy Star (30 mm),Granit,30,2603,395,,-0.10,available,,,,,,
galaxy-star-20-mm-granit,Galaxy Star (20 mm),Granit,20,2603,395,,-0.10,available,,,,,,
giallo-veneziano-30-mm-granit,Giallo Veneziano (30 mm),Granit,30,2257,395,,-0.10,available,,,,,,
giallo-veneziano-20-mm-granit,Giallo Veneziano (20 mm),Granit,20,2257,395,,-0.10,available,,,,,,
labrador-antique-30-mm-granit,Labrador Antique (30 mm),Granit,30,3834,395,,-0.10,available,,,,,,
labrador-antique-20-mm-granit,Labrador Antique (20 mm),Granit,20,3834,395,,-0.10,available,,,,,,
lemon-ice-30-mm-granit,Lemon Ice (30 mm),Granit,30,2074,395,,-0.10,available,,,,,,
lemon-ice-20-mm-granit,Lemon Ice (20 mm),Granit,20,2074,395,,-0.10,available,,,,,,
nero-africa-impala-black-30-mm-granit,Nero Africa / Impala Black (30 mm),Granit,30,1620,395,,-0.10,available,,,,,,
nero-africa-impala-black-20-mm-granit,Nero Africa / Impala Black (20 mm),Granit,20,1620,395,,-0.10,available,,,,,,
nero-assoluto-30-mm-granit,Nero Assoluto (30 mm),Granit,30,2128,395,,-0.10,available,,,,,,
nero-assoluto-20-mm-granit,Nero Assoluto (20 mm),Granit,20,2128,395,,-0.10,available,,,,,,
star-gate-30-mm-granit,Star Gate (30 mm),Granit,30,2419,395,,-0.10,available,,,,,,
star-gate-20-mm-granit,Star Gate (20 mm),Granit,20,2419,395,,-0.10,available,,,,,,
steel-grey-30-mm-granit,Steel Grey (30 mm),Granit,30,2257,395,,-0.10,available,,,,,,
steel-grey-20-mm-granit,Steel Grey (20 mm),Granit,20,2257,395,,-0.10,available,,,,,,
verde-savana-30-mm-granit,Verde Savana (30 mm),Granit,30,2365,395,,-0.10,available,,,,,,
verde-savana-20-mm-granit,Verde Savana (20 mm),Granit,20,2365,395,,-0.10,available,,,,,,
viscount-white-30-mm-granit,Viscount White (30 mm),Granit,30,2074,395,,-0.10,available,,,,,,
viscount-white-20-mm-granit,Viscount White (20 mm),Granit,20,2074,395,,-0.10,available,,,,,,
bianco-carrara-c-30-mm-marmor,Bianco Carrara C (30 mm),Marmor,30,3078,395,,-0.10,available,,,,,,
bianco-carrara-c-20-mm-marmor,Bianco Carrara C (20 mm),Marmor,20,3078,395,,-0.10,available,,,,,,
blue-savoy-30-mm-marmor,Blue Savoy (30 mm),Marmor,30,7204,395,,-0.10,available,,,,,,
blue-savoy-20-mm-marmor,Blue Savoy (20 mm),Marmor,20,7204,395,,-0.10,available,,,,,,
botticino-classico-30-mm-marmor,Botticino Classico (30 mm),Marmor,30,1706,395,,-0.10,available,,,,,,
botticino-classico-20-mm-marmor,Botticino Classico (20 mm),Marmor,20,1706,395,,-0.10,available,,,,,,
grigio-carnico-30-mm-marmor,Grigio Carnico (30 mm),Marmor,30,2700,395,,-0.10,available,,,,,,
grigio-carnico-20-mm-marmor,Grigio Carnico (20 mm),Marmor,20,2700,395,,-0.10,available,,,,,,
nero-marquina-30-mm-marmor,Nero Marquina (30 mm),Marmor,30,3229,395,,-0.10,available,,,,,,
nero-marquina-20-mm-marmor,Nero Marquina (20 mm),Marmor,20,3229,395,,-0.10,available,,,,,,
nero-tropez-30-mm-marmor,Nero Tropez (30 mm),Marmor,30,2279,395,,-0.10,available,,,,,,
nero-tropez-20-mm-marmor,Nero Tropez (20 mm),Marmor,20,2279,395,,-0.10,available,,,,,,
verde-guatemala-30-mm-marmor,Verde Guatemala (30 mm),Marmor,30,1652,395,,-0.10,available,,,,,,
verde-guatemala-20-mm-marmor,Verde Guatemala (20 mm),Marmor,20,1652,395,,-0.10,available,,,,,,
azul-valverde-30-mm-kalksten,Azul Valverde (30 mm),Kalksten,30,1620,395,,-0.10,available,,,,,,
azul-valverde-20-mm-kalksten,Azul Valverde (20 mm),Kalksten,20,1620,395,,-0.10,available,,,,,,
dietfurt-grey-30-mm-kalksten,Dietfurt Grey (30 mm),Kalksten,30,2549,395,,-0.10,available,,,,,,
dietfurt-grey-20-mm-kalksten,Dietfurt Grey (20 mm),Kalksten,20,2549,395,,-0.10,available,,,,,,
grigio-st-moritz-20-mm-kalksten,Grigio St. Moritz (20 mm),Kalksten,20,2419,395,,-0.10,available,,,,,,
jura-grey-30-mm-kalksten,Jura Grey (30 mm),Kalksten,30,1490,395,,-0.10,available,,,,,,
jura-grey-20-mm-kalksten,Jura Grey (20 mm),Kalksten,20,1490,395,,-0.10,available,,,,,,
bricmate-azul-olive-12-mm-keramik,Bricmate Azul Olive (12 mm),Keramik,12,4277,420,,-0.10,available,,,,,,
bricmate-glanshammar-silk-12-mm-keramik,Bricmate Glanshammar Silk (12 mm),Keramik,12,4277,420,,-0.10,available,,,,,,
bricmate-jura-select-classic-12-mm-keramik,Bricmate Jura Select Classic (12 mm),Keramik,12,4277,420,,-0.10,available,,,,,,
